mode,N,K,p_or_layers,mixer,warm_start,formulation,alpha,lam_tc,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers,duration_sec,solver_used,shots,noise_p,noise_model,objective,pairs
standard,20,10,1,xy,1,mvo,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,20,,0.8084001541137695,subspace_brute,0,0.0,none,expectation,
standard,20,10,1,xy,1,mad,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,20,,0.7617578506469727,subspace_brute,0,0.0,none,expectation,
standard,20,10,1,xy,1,mvo_tc,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,20,,0.766787052154541,subspace_brute,0,0.0,none,expectation,
standard,20,10,2,xy,1,mvo,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,40,,1.2260181903839111,subspace_brute,0,0.0,none,expectation,
standard,20,10,2,xy,1,mad,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,40,,1.232748031616211,subspace_brute,0,0.0,none,expectation,
standard,20,10,2,xy,1,mvo_tc,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,40,,1.2446599006652832,subspace_brute,0,0.0,none,expectation,
standard,20,10,3,xy,1,mvo,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,60,,1.926785945892334,subspace_brute,0,0.0,none,expectation,
standard,20,10,3,xy,1,mad,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,60,,1.9420311450958252,subspace_brute,0,0.0,none,expectation,
standard,20,10,3,xy,1,mvo_tc,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,60,,1.9401462078094482,subspace_brute,0,0.0,none,expectation,
standard,20,10,4,xy,1,mvo,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,80,,2.875882863998413,subspace_brute,0,0.0,none,expectation,
standard,20,10,4,xy,1,mad,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,80,,2.8758041858673096,subspace_brute,0,0.0,none,expectation,
standard,20,10,4,xy,1,mvo_tc,0.2,0.1,-0.010278788296701124,-0.02402208143160825,0.013743293134907126,0.0,5.5592903225138455e-06,0,80,,2.876988172531128,subspace_brute,0,0.0,none,expectation,
adapt,20,10,1,xy,1,mvo,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,1.6465532779693604,,0,0.0,depolarizing,expectation,
adapt,20,10,1,xy,1,mad,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,1.6607890129089355,,0,0.0,depolarizing,expectation,
adapt,20,10,1,xy,1,mvo_tc,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,1.646655797958374,,0,0.0,depolarizing,expectation,
adapt,20,10,2,xy,1,mvo,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,3.0679402351379395,,0,0.0,depolarizing,expectation,
adapt,20,10,2,xy,1,mad,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,3.0846219062805176,,0,0.0,depolarizing,expectation,
adapt,20,10,2,xy,1,mvo_tc,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,3.0780110359191895,,0,0.0,depolarizing,expectation,
adapt,20,10,3,xy,1,mvo,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,3.0928728580474854,,0,0.0,depolarizing,expectation,
adapt,20,10,3,xy,1,mad,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,3.092611789703369,,0,0.0,depolarizing,expectation,
adapt,20,10,3,xy,1,mvo_tc,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,3.095721960067749,,0,0.0,depolarizing,expectation,
adapt,20,10,4,xy,1,mvo,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,3.083918809890747,,0,0.0,depolarizing,expectation,
adapt,20,10,4,xy,1,mad,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,3.0894999504089355,,0,0.0,depolarizing,expectation,
adapt,20,10,4,xy,1,mvo_tc,0.2,0.1,-0.010283587311727778,-0.02402208143160825,0.013738494119880472,0.0,3.6548711977202147e-06,0,40,1,3.084404945373535,,0,0.0,depolarizing,expectation,
