seed,mode,N,K,p_max_layers,mixer,warm_start,formulation,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers_used,duration_sec,shots,noise_p
30,adapt,16,8,2,xy,0,mvo,0.002993782462945389,-0.007447133152424047,0.010440915615369436,0.007862618758885345,7.786607040801085e-05,0,2,2,0.36034607887268066,0,0.0
40,adapt,16,8,2,xy,0,mvo,-0.011979174623731104,-0.02277296623291988,0.010793791609188776,-0.006839240667056488,0.00012807912925157593,0,2,2,0.35563087463378906,0,0.0
50,adapt,16,8,2,xy,0,mvo,-0.005515359991793561,-0.019882650567062995,0.014367290575269434,0.0005670348787835454,7.826946292954336e-05,0,2,2,0.3568120002746582,0,0.0
10,standard,20,10,2,xy,0,mvo,-0.016170238989470558,-0.03211042287000047,0.01594018388052991,-0.009588331041850369,2.8380991445743293e-06,0,40,2,19.528186082839966,0,0.0
20,standard,20,10,2,xy,0,mvo,0.0016665452629855764,-0.01320773355009626,0.014874278813081836,0.007798725719673708,3.101240895031572e-06,0,40,2,19.518749952316284,0,0.0
30,standard,20,10,2,xy,0,mvo,0.002600041663469107,-0.01010489821202714,0.012704939875496247,0.008370609948140758,8.578299704600623e-08,0,40,2,19.559713125228882,0,0.0
10,adapt,20,10,2,xy,0,mvo,-0.016137166760998217,-0.03211042287000047,0.01597325610900225,-0.009929410999612644,5.466235585273809e-06,0,2,2,10.285419940948486,0,0.0
20,adapt,20,10,2,xy,0,mvo,0.0017539645807664712,-0.01320773355009626,0.014961698130862731,0.007629913865631558,9.450317663178159e-07,0,2,2,10.451682090759277,0,0.0
30,adapt,20,10,2,xy,0,mvo,0.002621479582032248,-0.01010489821202714,0.012726377794059388,0.008170581614093368,5.4727970563044735e-06,0,2,2,10.251857280731201,0,0.0
10,standard,22,11,2,xy,0,mvo,-0.015295850235940116,-0.0333555238791163,0.018059673643176184,-0.008666437274342893,9.981975005519394e-07,0,44,2,88.31224298477173,0,0.0
