Method,p,Energy,Gap,Overlap
Std_Relax_WS_Mixer,1,280.10596294154954,280.48435225759454,0.00040753897284882167
Shp_Relax_WS_Mixer,1,248.9623156215388,249.34070493758378,4.035018347822904e-06
Std_Relax_XY_Mixer,1,-0.0708325225630399,0.30755679348194603,0.06353780374951408
Shp_Relax_XY_Mixer,1,0.010216674201888726,0.38860599024687464,0.05101031218852058
Std_Relax_WS_Mixer,2,208.54869225896093,208.9270815750059,8.106446160473728e-05
Shp_Relax_WS_Mixer,2,230.77217371477232,231.1505630308173,0.0002696128798420306
Std_Relax_XY_Mixer,2,-0.1065149132737571,0.2718744027712288,0.13032313232216305
Shp_Relax_XY_Mixer,2,-0.0991044517367997,0.2792848643081862,0.1421694320711948
Std_Relax_WS_Mixer,3,215.45666906591515,215.83505838196012,0.0002907407425238855
Shp_Relax_WS_Mixer,3,225.80727269492513,226.1856620109701,0.0011621247106584943
Std_Relax_XY_Mixer,3,-0.12678285400929037,0.2516064620356956,0.14160782346575276
Shp_Relax_XY_Mixer,3,-0.1007657889288078,0.2776235271161781,0.13973448846332018
Gradient_ADAPT_Biased,5,-0.036944459207996605,0.34144485683698933,0.055183139176126134
