mode,N,K,p_or_layers,mixer,warm_start,formulation,alpha,lam_tc,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers,duration_sec,solver_used,shots,noise_p,noise_model,objective,pairs
standard,12,6,1,x,1,mad,0.2,0.1,0.7923517527314937,0.0024528233337534973,0.7898989293977402,3.9471656708561365,0.001090084320549974,12,0,,0.05661892890930176,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,1,x,1,mvo_tc,0.2,0.1,0.7836227071420271,-0.011806842297822497,0.7954295494398496,3.941340961139601,0.001090048546688707,12,0,,0.03696489334106445,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,xy,0,mvo,0.2,0.1,0.2945053373579467,-0.012274187829634312,0.306779525187581,1.4982759028899018,0.0024937043885100447,0,24,,0.2504696846008301,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,xy,0,mad,0.2,0.1,0.303807807986616,0.0024528233337534973,0.3013549846528625,1.50453344503558,0.00032817936299484377,0,24,,0.2833700180053711,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,xy,0,mvo_tc,0.2,0.1,0.29508385136754645,-0.011806842297822497,0.3068906936653689,1.498851866703667,0.00034871543786420544,0,24,,0.2561299800872803,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,xy,1,mvo,0.2,0.1,3.2120831491536794,-0.012274187829634312,3.2243573369833136,16.08550518352648,0.0024047675323500216,0,24,,0.09565424919128418,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,xy,1,mad,0.2,0.1,3.2207574978554305,0.0024528233337534973,3.218304674521677,16.089117809682474,0.0007582746481990869,0,24,,0.12893986701965332,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,xy,1,mvo_tc,0.2,0.1,3.2126954429069885,-0.011806842297822497,3.224502285204811,16.086295066059723,0.00018303620528006682,0,24,,0.10894179344177246,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,x,0,mvo,0.2,0.1,0.5736133450578177,-0.012274187829634312,0.585887532887452,2.8935382366963274,0.0010783953668693084,24,0,,0.03955364227294922,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,x,0,mad,0.2,0.1,0.582902402402847,0.0024528233337534973,0.5804495790690934,2.899915348606235,0.0010783945524698404,24,0,,0.07127189636230469,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,x,0,mvo_tc,0.2,0.1,0.5741921900880398,-0.011806842297822497,0.5859990323858623,2.8941659898759777,0.0010783954155534276,24,0,,0.05264782905578613,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,x,1,mvo,0.2,0.1,0.5735997662047007,-0.012274187829634312,0.585873954034335,2.8935239499567853,0.0010931619815408593,24,0,,0.040756940841674805,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,x,1,mad,0.2,0.1,0.5828995770975067,0.0024528233337534973,0.5804467537637532,2.899910646168901,0.0010917740199589618,24,0,,0.07317209243774414,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,2,x,1,mvo_tc,0.2,0.1,0.5741784276612001,-0.011806842297822497,0.5859852699590226,2.894151691737477,0.0010923339425832931,24,0,,0.05372476577758789,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,xy,0,mvo,0.2,0.1,0.2944976772438914,-0.012274187829634312,0.3067718650735257,1.4979999649657276,0.0004432909344515717,0,36,,0.3597900867462158,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,xy,0,mad,0.2,0.1,0.3038022436554828,0.0024528233337534973,0.3013494203217293,1.5044940270007374,0.00047548623486573445,0,36,,0.38947510719299316,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,xy,0,mvo_tc,0.2,0.1,0.2950750118156895,-0.011806842297822497,0.306881854113512,1.4986501971944632,0.0007637392343098974,0,36,,0.3703010082244873,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,xy,1,mvo,0.2,0.1,3.5276881888505787,-0.012274187829634312,3.539962376680213,17.66351792678557,0.0016708318328230317,0,36,,0.14182114601135254,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,xy,1,mad,0.2,0.1,3.5388657864350677,0.0024528233337534973,3.536412963101314,17.679657465196552,0.0004467932889124725,0,36,,0.17332196235656738,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,xy,1,mvo_tc,0.2,0.1,3.528336132850611,-0.011806842297822497,3.5401429751484335,17.66448579471587,0.0011186607122009409,0,36,,0.15454983711242676,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,x,0,mvo,0.2,0.1,13.579583840401261,-0.012274187829634312,13.591858028230895,67.92155855752088,0.0009459971741760481,36,0,,0.05756688117980957,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,x,0,mad,0.2,0.1,13.585455992618538,0.0024528233337534973,13.583003169284785,67.91233322683753,0.0009466839383395725,36,0,,0.09083127975463867,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,x,0,mvo_tc,0.2,0.1,13.580136975448962,-0.011806842297822497,13.591943817746785,67.92203494945903,0.0009460489012621242,36,0,,0.07180476188659668,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,x,1,mvo,0.2,0.1,13.579587172054763,-0.012274187829634312,13.591861359884398,67.92152607961815,0.0009329680796141428,36,0,,0.059854984283447266,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,x,1,mad,0.2,0.1,13.58543318692352,0.0024528233337534973,13.582980363589767,67.9122104590711,0.0009343365630823076,36,0,,0.09183406829833984,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,3,x,1,mvo_tc,0.2,0.1,13.580140748396959,-0.011806842297822497,13.591947590694781,67.92200381310184,0.0009337389955518748,36,0,,0.07306599617004395,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,xy,0,mvo,0.2,0.1,0.2944908385010915,-0.012274187829634312,0.3067650263307258,1.4984093829417462,0.0022185312686846316,0,48,,0.4788198471069336,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,xy,0,mad,0.2,0.1,0.303804666121208,0.0024528233337534973,0.30135184278745447,1.5045153423351725,0.0006459327923719616,0,48,,0.5095491409301758,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,xy,0,mvo_tc,0.2,0.1,0.295069097166163,-0.011806842297822497,0.30687593946398545,1.499064610975912,0.001056699011355484,0,48,,0.49802303314208984,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,xy,1,mvo,0.2,0.1,4.003154710895879,-0.012274187829634312,4.015428898725514,20.040843872980744,0.0013604581400458464,0,48,,0.18855929374694824,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,xy,1,mad,0.2,0.1,4.012637217329108,0.0024528233337534973,4.010184393995355,20.04851573001876,0.0007167592050732471,0,48,,0.22686290740966797,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,xy,1,mvo_tc,0.2,0.1,4.003603274327996,-0.011806842297822497,4.0154101166258185,20.04081747367484,0.0007192940212020544,0,48,,0.2053360939025879,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,x,0,mvo,0.2,0.1,187.88590601185166,-0.012274187829634312,187.8981801996813,551.5630772370052,0.00010759190036379999,48,0,,0.07638287544250488,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,x,0,mad,0.2,0.1,187.8930955902476,0.0024528233337534973,187.89064276691386,551.5911708731724,0.00010713616465114681,48,0,,0.10945701599121094,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,x,0,mvo_tc,0.2,0.1,187.88641714745648,-0.011806842297822497,187.8982239897543,551.5635669213307,0.00010762002912719855,48,0,,0.09067082405090332,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,x,1,mvo,0.2,0.1,187.88549369471954,-0.012274187829634312,187.89776788254918,551.562302135043,0.00010979726794433404,48,0,,0.07909297943115234,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,x,1,mad,0.2,0.1,187.89266534481573,0.0024528233337534973,187.89021252148197,551.5904647660943,0.00010912825800151072,48,0,,0.11160492897033691,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,4,x,1,mvo_tc,0.2,0.1,187.88600510900545,-0.011806842297822497,187.89781195130328,551.5627910198966,0.00010970169196575507,48,0,,0.09251809120178223,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,xy,0,mvo,0.2,0.1,0.29449526450430785,-0.012274187829634312,0.30676945233394215,1.4982397575519368,0.006350784112013543,0,60,,0.6100249290466309,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,xy,0,mad,0.2,0.1,0.30380198816798765,0.0024528233337534973,0.30134916483423413,1.5045298798170297,0.0007905723993627807,0,60,,0.6393628120422363,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,xy,0,mvo_tc,0.2,0.1,0.29507291651631584,-0.011806842297822497,0.3068797588141383,1.498883705757589,0.0009253475786860521,0,60,,0.6358070373535156,bruteforce,0,0.001,depolarizing,expectation,
