mode,N,K,p_or_layers,mixer,warm_start,formulation,alpha,lam_tc,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers,duration_sec,solver_used,shots,noise_p,noise_model,objective,pairs
standard,12,6,1,xy,1,mvo,0.2,0.1,1.0409204074763174,-0.012274187829634312,1.0531945953059518,5.229978013931268,0.0011215228038433795,0,12,,0.03969717025756836,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,1,xy,1,mad,0.2,0.1,1.0502444755616591,0.0024528233337534973,1.0477916522279056,5.236607632902491,0.0011017798903668354,0,12,,0.07066202163696289,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,1,xy,1,mvo_tc,0.2,0.1,1.0414959867509128,-0.011806842297822497,1.0533028290487354,5.230586968156198,0.0011075064651671666,0,12,,0.05275702476501465,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,2,xy,1,mvo,0.2,0.1,4.632981045671726,-0.012274187829634312,4.64525523350136,23.189817000206734,0.0027279340079356578,0,24,,0.07438516616821289,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,2,xy,1,mad,0.2,0.1,4.643004818262561,0.0024528233337534973,4.640551994928808,23.20032087147148,3.369256317627387e-05,0,24,,0.10506916046142578,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,2,xy,1,mvo_tc,0.2,0.1,4.633372614771105,-0.011806842297822497,4.645179457068927,23.189500838787687,0.0005167831275364192,0,24,,0.08820319175720215,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,3,xy,1,mvo,0.2,0.1,4.0549652048288864,-0.012274187829634312,4.067239392658521,20.29982186460016,0.0016263465784898507,0,36,,0.10887289047241211,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,3,xy,1,mad,0.2,0.1,4.066188241279822,0.0024528233337534973,4.063735417946069,20.31625140685443,7.002966576918412e-05,0,36,,0.1408677101135254,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,3,xy,1,mvo_tc,0.2,0.1,4.055494683568931,-0.011806842297822497,4.067301525866753,20.300198695689904,0.0008545680987869597,0,36,,0.1217041015625,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,4,xy,1,mvo,0.2,0.1,3.8672177087256783,-0.012274187829634312,3.8794918965553125,19.361302422945304,0.0011873062431781406,0,48,,0.14238381385803223,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,4,xy,1,mad,0.2,0.1,3.877549333653432,0.0024528233337534973,3.8750965103196786,19.373097508977217,0.0010495374970454262,0,48,,0.1730060577392578,bruteforce,0,0.0,depolarizing,expectation,
standard,12,6,4,xy,1,mvo_tc,0.2,0.1,3.867538176496333,-0.011806842297822497,3.8793450187941554,19.360635132883505,0.0011272077989526678,0,48,,0.15504097938537598,bruteforce,0,0.0,depolarizing,expectation,
adapt,12,6,1,xy,1,mvo,0.2,0.1,-0.005492972342344492,-0.012274187829634312,0.00678121548728982,-0.0018885578088947916,0.001098206412943657,0,1,1,0.026561975479125977,,0,0.0,depolarizing,expectation,ring
adapt,12,6,1,xy,1,mad,0.2,0.1,0.0038154860248724954,0.0024528233337534973,0.0013626626911189981,0.004498724765059951,0.0010958133812026024,0,1,1,0.05887794494628906,,0,0.0,depolarizing,expectation,ring
adapt,12,6,1,xy,1,mvo_tc,0.2,0.1,-0.004914347601380214,-0.011806842297822497,0.006892494696442283,-0.0012600178223122647,0.0010975195918223057,0,1,1,0.03969407081604004,,0,0.0,depolarizing,expectation,ring
adapt,12,6,2,xy,1,mvo,0.2,0.1,-0.005494241690167676,-0.012274187829634312,0.0067799461394666355,-0.0018896751836367442,0.0010997555221067073,0,2,2,0.06952929496765137,,0,0.0,depolarizing,expectation,ring
adapt,12,6,2,xy,1,mad,0.2,0.1,0.0038105871750784342,0.0024528233337534973,0.001357763841324937,0.0044713212377117196,0.0010951297510537023,0,2,2,0.10065984725952148,,0,0.0,depolarizing,expectation,ring
adapt,12,6,2,xy,1,mvo_tc,0.2,0.1,-0.0049156840564226045,-0.011806842297822497,0.006891158241399893,-0.0012611738152395486,0.0010990740817926157,0,2,2,0.0829319953918457,,0,0.0,depolarizing,expectation,ring
adapt,12,6,3,xy,1,mvo,0.2,0.1,-0.005494747363439658,-0.012274187829634312,0.0067794404661946535,-0.001890115222431076,0.0011006940011083909,0,3,3,0.13382387161254883,,0,0.0,depolarizing,expectation,ring
adapt,12,6,3,xy,1,mad,0.2,0.1,0.0038031760107522976,0.0024528233337534973,0.0013503526769988003,0.004473318683601553,0.0010957612863747015,0,3,3,0.16530203819274902,,0,0.0,depolarizing,expectation,ring
adapt,12,6,3,xy,1,mvo_tc,0.2,0.1,-0.004916252823501759,-0.011806842297822497,0.006890589474320738,-0.0012616602296340066,0.001100023466790904,0,3,3,0.14430618286132812,,0,0.0,depolarizing,expectation,ring
adapt,12,6,4,xy,1,mvo,0.2,0.1,-0.005499294127784789,-0.012274187829634312,0.006774893701849523,-0.0018941749372746956,0.0011028527713828381,0,4,4,0.21512103080749512,,0,0.0,depolarizing,expectation,ring
adapt,12,6,4,xy,1,mad,0.2,0.1,0.0038000207164881374,0.0024528233337534973,0.00134719738273464,0.004466469966923743,0.0010950107911306653,0,4,4,0.24695491790771484,,0,0.0,depolarizing,expectation,ring
adapt,12,6,4,xy,1,mvo_tc,0.2,0.1,-0.004920711314268524,-0.011806842297822497,0.006886130983553973,-0.0012655754119473277,0.0011024421667086245,0,4,4,0.23004603385925293,,0,0.0,depolarizing,expectation,ring
