seed,N,K,p,best_energy,optimal_energy,energy_gap,overlap,gate_single,gate_two,duration_sec,solver_used
10,30,2,1,-0.003481399269286949,-0.012299455022512657,0.00881805575322571,0.0023574668480295393,0,30,0.11316609382629395,subspace_brute
20,30,2,1,-0.0005688623864229902,-0.00921947607962261,0.008650613693199619,0.0023477453656640065,0,30,0.008096933364868164,subspace_brute
10,30,5,1,-0.008041837544984378,-0.024635766938803972,0.016593929393819595,1.1180912288649514e-05,0,30,1.692596197128296,subspace_brute
20,30,5,1,-0.00037546847666427153,-0.01687517787773481,0.01649970940107054,7.316405043965202e-06,0,30,1.6799521446228027,subspace_brute
10,30,10,1,-0.013884444418596603,-0.03712033701801581,0.023235892599419203,9.049152471731382e-09,0,30,788.889524936676,subspace_brute
20,30,10,1,0.002743984442636922,-0.020807120432827484,0.023551104875464406,1.3404916840561911e-08,0,30,805.8724329471588,subspace_brute
10,40,2,1,-0.003229367092304608,-0.01136839278122566,0.008139025688921053,0.0013087793564157606,0,40,0.01797795295715332,subspace_brute
20,40,2,1,-0.0009031297252435918,-0.011119858587538528,0.010216728862294936,0.0013150769761740549,0,40,0.013316154479980469,subspace_brute
10,40,5,1,-0.00743059417075925,-0.024679516306988978,0.01724892213622973,1.1243841419658598e-07,0,40,10.76693606376648,subspace_brute
20,40,5,1,-0.0013989943424362295,-0.02064972890232687,0.01925073455989064,1.5967433056582987e-06,0,40,10.558889865875244,subspace_brute
